letter,notes
tai a,"(1) Citado por Saturnino Muniagurria. “El Guaraní (Elementos de Gramática Guaraní y Vocabulario de las voces más importantes de este Idioma)” (1967). Ed. Hachette, Buenos Aires."
tai a,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai ch,Notas
tai ch,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai d,Notas
tai d,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai e,Notas
tai e,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai f,Notas
tai f,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai g,Notas
tai g,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai h,Notas
tai h,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai i,Notas
tai i,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai j,Notas
tai j,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai k,Notas
tai k,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai l,Notas
tai l,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai m,Notas
tai m,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai n,Notas
tai n,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai ñ,Notas
tai ñ,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai o,Notas
tai o,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai p,Notas
tai p,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai r,Notas
tai r,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai s,Notas
tai s,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai t,Notas
tai t,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai u,Notas
tai u,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai v,Notas
tai v,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
tai y,"(1) Citado por Isabel de Asuad, “Esto es Corrientes” (1980), Editorial Nueva Etapa, Corrientes."
tai y,"(2) Citado por Isabel de Asuad, “Esto es Corrientes” (1980), Editorial Nueva Etapa, Corrientes."
tai y,Notas
tai y,"(*) El significado de las palabras fue extraido de Natalia Krivoshein de Canese y Feliciano Acosta Alcaraz. “Ñe’ẽryru (Avañe'ẽ - Karaiñe’ẽ // Karaiñe’ẽ - Avañe'ẽ) - Diccionario (Guaraní - Español // Español - Guaraní)” (2003), integrantes del Instituto Superior de Lenguas de la Universidad Nacional de Asunción. Ed. por Ediciones y Arte S. R. L., segunda edición, Colección Ñemitỹ, Asunción."
